資料日期,資料時間,代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,投資人成交買賣別,暫停交易開始時間,成交量,進度日期,上市櫃進度
"1150211","163004","4570","傑生","66.8","65.5","3000","66.8","3000","65.5","65.5","65.5","65.5","S","000000","1000","",""
"1150211","163004","4573","高明鐵","75.78","79.3","6000","80.5","5998","84.3","70","75.24","80.5","B","000000","1172441","",""
"1150211","163004","4575","銓寶","20.01","19.9","5000","20.2","2998","20.2","20","20.07","20.2","B","000000","10306","",""
"1150211","163004","4582","聚恆","31.35","30.5","3000","31.3","5995","31.3","30.4","30.89","31.2","B","000000","94216","20260206","l"
"1150211","163004","4587","寶元數控","25.25","24.4","3000","25.15","2998","25.5","24.35","24.75","25.15","B","000000","18033","",""
"1150211","163004","4589","碩陽電機","35.05","33.4","3000","35.05","3000","35.05","35.05","35.05","35.05","B","000000","1012","",""
"1150211","163004","4724","宣捷幹細胞","14.68","14.35","9000","14.8","4980","14.85","14.35","14.61","14.8","B","000000","68440","",""
"1150211","163004","4732","彥臣","19.83","20.8","3000","21.1","3000","20.9","19.25","20.18","20.9","B","000000","47562","",""
"1150211","163004","4738","大同精化","6.37","6.09","10000","6.4","11909","6.4","6.09","6.21","6.4","B","000000","135772","",""
"1150211","163004","4765","磐采","12.85","12.75","5000","13.2","4000","13.2","12.8","12.87","13.2","B","000000","9000","",""
"1150211","163004","4773","高福","42.45","40.25","3000","42.3","3000","43.15","40.35","40.79","42.4","B","000000","46119","",""
"1150211","163004","4925","智微","75.55","88.5","7500","89.1","3000","90.4","74.5","83.74","88.5","S","000000","2910083","",""
"1150211","163004","4980","佐臻","27.99","28","2000","28.35","1999","28.4","27.15","27.79","28.35","B","000000","69045","",""
"1150211","163004","5240","建騰","18.69","18.2","5000","19.1","5000","18.85","18.15","18.53","18.85","B","000000","8702","",""
"1150211","163004","5246","勵威","54.36","50.4","3000","51.4","3000","53.8","47.7","50.58","51.4","B","000000","845524","",""
"1150211","163004","5248","景傳","22.18","22","3000","22.5","2910","22.6","22.5","22.5","22.5","B","000000","5218","",""
"1150211","163004","5254","欣訊科技","32.26","31.1","3000","32.5","2999","32.5","32.5","32.5","32.5","B","000000","1","",""
"1150211","163004","5262","立達","40.18","40","3000","40.2","2000","40.25","39.75","40","40.2","B","000000","127261","",""
"1150211","163004","5267","龍翩","27.9","26.8","6000","28.05","6000","28","27.5","27.55","27.6","B","000000","8020","",""
"1150211","163004","5271","紘通","8.81","8.75","4998","9.15","4999","9.21","8.75","8.82","8.75","S","000000","60011","",""
"1150211","163004","5297","廣化","28.11","27.8","3000","28.1","5990","28.95","27.75","28.13","28.1","B","000000","240781","",""
"1150211","163004","5859","遠壽","15.79","15.75","5000","15.85","5000","16.1","15.55","15.71","15.85","B","000000","134642","",""
"1150211","163004","5863","瑞興銀","11.5","11.45","9068","11.75","4999","11.75","11.25","11.69","11.75","B","000000","31315","",""
"1150211","163004","6027","德信","9.86","9.22","10000","9.7","9000","9.96","9.5","9.59","9.7","B","000000","11910","",""
"1150211","163004","6028","公勝保經","108","103","4000","107.5","2000","108.5","103.5","106.88","107.5","B","000000","10008","20251223","E"
